Stock Quotes for MDT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,33,35.25,32.75,34.25,26.052843,9266900
2000-01-04,34.3125,35.5,34.25,34.5,26.243011,5109300
2000-01-05,35,36.9375,34.625,36.625,27.891773,5841200
2000-01-06,36.5625,38.3125,36.3125,38,28.938887,6130500
2000-01-07,39.75,43,39.3125,42.25,32.175488,11537600
2000-01-10,41.625,43.25,41.4375,41.9375,31.937508,6966700
2000-01-11,41.5625,43.0625,41.4375,42.125,32.080296,4413700
2000-01-12,41.625,42.0625,41.3125,42.0625,32.032692,3243300
2000-01-13,42,44.125,41.9375,43.5,33.127426,5029300
2000-01-14,44.75,44.9375,43.625,43.875,33.412998,5759600
2000-01-18,44.5,44.875,43.875,44.375,33.793789,5947800
2000-01-19,44.625,45.625,44.25,44.9375,34.222149,4288100
2000-01-20,45.75,46.125,44,44,33.508198,6083200
2000-01-21,45,45,43.3125,43.5625,33.175014,6105200
2000-01-24,44.25,44.9375,42.375,43.0625,32.794243,5749800
2000-01-25,43.75,45,43.625,44.5625,33.936569,3742800
2000-01-26,44.75,46.3125,44.5,46.125,35.126476,6589300
2000-01-27,46.875,47.5,45.3125,46.4375,35.364479,4539700
2000-01-28,46.1875,46.1875,44.3125,44.8125,34.126953,3981200
2000-01-31,44.8125,45.75,43.25,45.75,34.840916,3717100
2000-02-01,45.5,46.5,44.9687,46.375,35.316891,2960700
2000-02-02,46.125,46.5625,44.75,45,34.269726,3099000
2000-02-03,45.375,45.8125,44,45.75,34.840916,3275900
2000-02-04,46,49.625,45.9375,48.0625,36.60199,5717100
2000-02-07,47.875,49.25,47.5,49.25,37.506344,4373700
2000-02-08,49,49.6875,48.6875,49.625,37.791912,3328600
2000-02-09,49.5,49.6875,48.75,48.875,37.220745,3685400
2000-02-10,49,49.1875,48,48,36.554398,2088800
2000-02-11,48.75,48.75,45,46,35.031292,6163300
2000-02-14,46.375,48.0625,46.1875,46.375,35.316891,4625300
2000-02-15,46.625,46.625,44.875,45.4375,34.602924,4631000
2000-02-16,45.4375,46,44.0625,44.25,33.698582,4768700
2000-02-17,46.25,47.25,46.1875,46.5625,35.459671,5653400
2000-02-18,47.5,48.375,47.375,47.6875,36.316406,5579200
2000-02-22,48,49.875,47.6875,49.1875,37.458733,4152000
2000-02-23,49.1875,49.25,47.5625,48.5,36.935162,3148900
2000-02-24,49,49.9375,48.125,49.5,37.696724,6309100
2000-02-25,49.75,49.8125,46.375,47.4375,36.126015,3017400
2000-02-28,47.4375,49.5625,45.5625,48,36.554398,5692500
2000-02-29,48.125,49,47.1875,48.4375,36.887569,3287800
2000-03-01,48.375,49.3125,47.4375,49.125,37.411137,2397400
2000-03-02,49,50.5,48.6875,49,37.315956,3221400
2000-03-03,49.25,51.5,49.125,51.375,39.124619,3125600
2000-03-06,52.25,52.9375,49.0625,49.5,37.696724,6101200
2000-03-07,50.5,50.5,49.0625,49.5,37.696724,3503100
2000-03-08,49,49.375,48.1875,48.9375,37.268349,3249500
2000-03-09,48.5,50.1875,48.5,50,38.077503,3474500
2000-03-10,50,52.1875,49.75,51.25,39.029427,2983400
2000-03-13,50.25,51.9375,49.8125,50.1875,38.220268,2100300
2000-03-14,50.375,50.5625,46,46.875,35.697643,5478100
2000-03-15,47.5,49.75,46.5625,49,37.315956,4447500
2000-03-16,49.75,53.75,49.3125,52.625,40.076569,4219900
2000-03-17,52.75,54.8125,52.1875,52.6875,40.124172,5073000
2000-03-20,52.875,53.875,52.5625,53.375,40.647728,2401600
2000-03-21,53.5,53.5,50.5,53.25,40.55254,6058300
2000-03-22,53,55,52.4375,54.75,41.694851,3023100
2000-03-23,54.5,56.4375,53,56.0625,42.694386,4397100
2000-03-24,55.8125,56.5625,54.875,55,41.885242,3598900
2000-03-27,54.5,57.375,53.5,57,43.408348,3683200
2000-03-28,56,57.875,55.0625,55.8125,42.504021,4724700
2000-03-29,56.375,57.125,54.75,55.4375,42.218433,4548100
2000-03-30,54.5,54.625,49.75,51,38.839046,7870600
