Stock Quotes for RTN,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.625,26.75,25.75,26.125,16.350313,887000
2000-01-04,26.125,26.625,25.9375,25.9375,16.232971,877700
2000-01-05,25.625,26.3125,25.5,26.25,16.428543,970500
2000-01-06,26.25,26.5625,25.875,26.375,16.506783,1218100
2000-01-07,26.625,28.375,26.5,27.9375,17.484674,1549500
2000-01-10,28.3125,28.5,27.5625,27.625,17.289097,794200
2000-01-11,27.5625,27.875,27.1875,27.5625,17.249973,790700
2000-01-12,27.5625,27.625,26.3125,26.5,16.585012,1326800
2000-01-13,26.5625,26.6875,26,26.1875,16.389433,1042500
2000-01-14,25.9375,26.0625,25.1875,25.375,15.880929,1100800
2000-01-18,23,23,18.8125,19,11.891139,8621000
2000-01-19,19,19.75,18.875,19.6875,12.321403,8641600
2000-01-20,19.9375,20.1875,18.4375,18.75,11.734674,6643600
2000-01-21,19,19.625,18.625,19.625,12.282294,5781400
2000-01-24,19.9375,20.125,18.1875,18.3125,11.460868,4579600
2000-01-25,19.5,20.25,18.75,20,12.516988,3517200
2000-01-26,20.5,21.9375,20.3125,21.5,13.455766,3084700
2000-01-27,22,23.375,21.9375,23.0625,14.433656,3148500
2000-01-28,23.125,24.5625,22.75,24.0625,15.059499,1733500
2000-01-31,24.125,24.125,22.1875,22.8125,14.27719,2113800
2000-02-01,22.75,22.75,21.4375,21.9375,13.729575,1889700
2000-02-02,21.9375,22.5625,21.5,22.5,14.081613,862600
2000-02-03,22.375,22.4375,21.4375,22.1875,13.886034,1382600
2000-02-04,22.1875,22.1875,21.625,22,13.768686,1460700
2000-02-07,22.75,22.75,21.25,21.625,13.533993,1188000
2000-02-08,21.75,22.3125,21.25,21.5625,13.49488,1830900
2000-02-09,21.5,22,21.125,21.25,13.299295,2175900
2000-02-10,21.3125,21.5,20.9375,20.9375,13.10372,994400
2000-02-11,20.9375,21,20.75,20.875,13.064607,589100
2000-02-14,20.9375,21,20.3125,20.375,12.751684,1008600
2000-02-15,20.5,20.75,20.25,20.25,12.673447,1528400
2000-02-16,20.375,20.5,20,20,12.516988,753800
2000-02-17,20.3125,20.4375,19.875,19.875,12.438754,825100
